severity,bounding_box_percentage,road_type,traffic_density,rainfall_probability,temperature_celsius,season,days_until_critical
2,21.72,0,2,27,17.3,0,8
0,3.32,1,1,23,16.9,0,31
1,5.64,2,0,33,44.4,1,21
2,35.12,1,1,37,32.6,1,7
0,2.09,0,1,29,37.7,1,25
1,6.18,1,0,51,32.4,1,17
1,11.34,2,2,33,44.1,1,11
1,10.14,2,0,87,30.3,2,13
0,3.13,0,1,15,12.3,0,27
2,27.41,1,1,70,33.8,2,2
1,4.81,1,1,12,12.4,0,21
2,32.68,0,0,17,18.1,0,3
2,35.31,2,1,18,11.2,0,6
2,39.28,0,1,35,12.1,0,3
0,6.17,2,1,36,12.0,0,24
0,5.84,1,1,25,14.9,0,28
2,16.25,2,2,36,21.3,0,2
2,34.14,1,2,53,34.9,2,2
1,15.9,1,1,27,33.2,1,12
2,17.91,0,0,35,26.2,2,3
0,0.52,2,0,28,17.7,0,32
1,15.89,2,1,34,33.6,2,11
1,15.06,2,2,50,30.0,2,2
1,5.49,0,0,19,16.3,0,24
2,25.12,1,1,19,17.8,0,11
1,3.6,1,0,80,34.3,2,12
2,18.41,1,0,43,19.7,0,5
2,33.37,1,2,11,14.6,0,2
2,39.91,1,1,27,16.9,0,2
1,13.05,1,1,54,30.7,1,13
1,12.94,2,1,25,41.8,1,13
1,17.55,1,1,25,20.1,0,16
0,3.19,2,2,12,36.8,1,16
1,11.24,0,0,18,35.4,1,19
2,39.25,1,0,38,19.2,0,6
0,1.96,2,1,7,14.5,0,28
0,6.56,2,0,18,36.7,1,30
1,5.17,0,1,49,36.9,2,17
2,19.73,2,0,26,12.8,0,13
0,5.94,1,2,37,45.0,1,19
1,10.27,0,1,67,31.7,2,6
1,11.58,0,2,14,20.0,0,15
1,10.09,0,1,73,29.4,2,5
0,3.76,1,0,37,12.6,0,27
0,6.42,1,0,26,34.1,2,22
0,2.7,0,1,44,34.8,1,27
0,2.97,1,2,65,32.8,2,17
2,18.57,0,2,43,20.9,0,2
0,6.86,2,0,48,38.8,1,30
2,21.08,1,0,3,12.1,0,12
1,10.97,1,0,36,17.5,0,22
2,18.74,1,2,99,26.0,2,2
1,6.83,2,1,0,43.3,1,18
2,38.47,0,0,37,33.1,1,5
1,15.68,2,1,12,45.0,1,18
1,7.44,2,1,62,24.3,2,9
2,27.85,1,1,43,18.9,0,11
2,29.0,1,1,22,11.1,0,5
0,5.41,2,1,42,32.8,2,24
1,8.47,1,0,41,25.3,2,13
1,5.63,1,2,8,41.4,1,18
2,37.59,1,0,30,44.4,1,4
1,10.02,2,1,4,10.0,0,27
2,22.24,2,1,75,24.2,2,2
2,30.84,0,1,43,32.5,1,2
1,10.07,0,2,39,20.4,0,16
2,30.13,1,2,40,19.5,0,3
1,17.19,0,0,19,21.9,0,20
0,1.38,0,0,83,29.2,2,26
2,32.34,1,2,78,33.2,2,2
1,3.49,2,1,23,31.7,1,17
1,11.17,0,2,41,34.1,1,12
1,17.24,1,0,29,9.3,0,22
0,6.93,0,1,36,10.9,0,31
2,34.77,0,2,14,12.6,0,6
0,4.01,1,0,11,9.5,0,39
0,5.63,0,0,15,38.0,1,33
0,1.24,2,1,33,30.7,2,23
1,9.78,2,2,14,21.2,0,16
2,30.01,2,1,1,29.0,1,8
1,4.62,1,1,81,25.0,2,12
0,4.61,0,1,95,34.0,2,17
1,9.81,2,2,38,35.3,1,7
2,36.23,2,2,80,30.3,2,2
0,3.09,1,1,46,29.6,1,21
1,4.01,0,2,53,29.5,1,14
1,8.59,0,2,41,31.8,2,4
1,8.3,2,0,42,44.0,1,18
1,12.01,2,0,22,29.8,1,19
1,15.68,0,0,23,30.0,1,20
1,15.68,2,0,49,41.9,1,14
0,2.24,2,2,48,27.8,2,9
1,5.72,1,1,9,15.9,0,20
2,26.85,0,0,73,29.9,2,2
1,13.82,0,1,49,44.0,1,9
0,4.88,0,2,17,14.2,0,22
1,9.21,1,2,13,40.8,1,17
1,10.3,2,2,64,24.6,2,2
1,6.07,2,0,13,18.7,0,25
0,3.3,0,1,41,29.3,2,19
2,35.33,0,2,70,25.0,2,2
0,4.24,1,0,36,34.9,1,29
2,23.34,1,1,20,10.4,0,11
2,35.65,1,0,15,35.4,1,7
1,16.06,2,0,47,33.8,1,16
2,26.28,2,0,69,28.9,2,2
2,16.1,0,0,12,10.4,0,18
0,3.52,0,2,36,40.9,1,26
1,12.53,2,2,66,36.1,2,2
0,2.47,1,1,60,32.3,2,18
1,9.93,2,0,2,29.0,1,24
0,3.0,2,2,99,31.8,2,5
2,30.25,0,1,66,32.5,2,2
1,4.26,0,1,47,24.5,2,12
2,26.64,1,1,45,29.1,2,2
1,14.84,2,2,41,12.7,0,6
1,8.8,0,2,57,34.1,2,2
0,4.81,1,0,69,28.3,2,16
2,15.61,2,2,45,43.9,1,2
1,15.43,0,2,92,25.3,2,4
2,12.51,1,2,19,31.1,1,7
1,5.32,0,0,18,19.8,0,32
0,6.24,2,2,29,33.3,2,16
2,17.06,1,0,44,18.8,0,8
0,3.17,2,1,43,18.1,0,31
2,18.7,1,0,85,36.7,2,2
0,6.9,1,2,84,34.8,2,12
1,5.08,0,0,57,24.7,2,12
1,13.67,1,2,33,19.9,0,12
1,15.47,1,2,5,21.2,0,21
0,3.2,1,1,25,15.0,0,30
1,16.96,0,0,53,40.1,1,26
1,7.3,0,0,30,17.7,0,26
1,3.29,2,0,13,19.7,0,29
2,23.85,2,2,61,27.3,2,2
2,15.1,2,1,31,16.4,0,11
0,2.07,2,2,43,28.1,2,15
2,30.71,1,0,92,37.6,2,2
0,5.61,2,2,89,31.8,2,4
2,32.92,1,1,22,41.4,1,6
1,12.42,0,2,99,34.3,2,2
2,35.25,1,2,43,14.5,0,2
2,34.72,1,2,4,18.0,0,4
0,2.55,0,0,19,15.2,0,33
2,33.09,1,1,12,12.0,0,7
2,34.38,1,1,27,20.5,0,4
2,39.26,1,1,31,39.8,1,2
1,4.18,0,2,38,44.9,1,17
0,1.17,2,1,20,39.2,1,26
1,8.27,0,2,2,40.4,1,20
1,12.59,2,1,50,44.1,1,18
1,5.4,2,2,28,26.0,2,7
2,15.53,2,1,15,18.9,0,9
2,31.01,0,2,23,13.2,0,4
0,2.89,2,0,65,33.1,2,23
2,22.84,0,1,96,25.6,2,2
1,17.95,2,1,18,17.7,0,20
0,6.34,0,1,28,22.0,0,28
2,31.87,1,2,35,37.2,1,3
2,16.87,2,2,71,31.1,2,2
0,5.64,0,0,1,13.1,0,31
2,13.84,0,2,25,22.0,0,5
2,33.54,1,2,52,37.8,1,2
0,3.86,1,1,41,36.3,2,23
2,33.5,2,2,8,14.1,0,2
0,1.57,2,0,20,43.9,1,31
0,6.0,1,2,16,31.3,1,25
2,14.62,1,2,46,32.3,2,2
2,29.49,0,0,68,35.8,2,2
0,5.51,0,0,58,33.1,2,21
2,12.85,1,2,94,28.1,2,2
2,14.04,1,1,3,30.7,1,9
1,8.1,1,1,9,12.4,0,20
1,10.72,1,0,6,33.4,1,18
1,6.72,0,1,6,28.9,1,25
1,17.01,0,0,46,33.3,1,15
0,3.74,1,2,19,36.5,1,26
1,8.29,0,0,31,27.9,2,18
2,20.0,2,2,0,42.4,1,2
2,13.27,1,1,3,37.7,1,13
0,0.98,1,2,32,35.7,1,17
2,15.6,2,2,6,13.5,0,2
1,5.99,2,1,32,13.6,0,20
2,24.8,1,1,90,26.0,2,2
2,39.74,1,0,47,42.3,1,2
2,27.76,2,1,85,35.4,2,2
1,17.7,1,2,37,12.3,0,17
2,19.43,0,2,41,41.3,1,2
2,13.44,2,0,86,26.4,2,2
1,3.47,0,2,44,9.5,0,12
0,1.48,1,1,44,31.5,1,21
1,13.59,2,2,33,10.9,0,8
1,8.65,2,1,47,30.4,2,7
2,34.5,2,2,58,32.5,2,2
0,2.44,0,1,63,34.8,2,18
1,11.41,1,1,50,40.3,1,10
1,11.15,0,2,75,35.5,2,9
1,4.19,0,1,81,33.2,2,7
2,35.18,1,0,17,21.1,0,9
2,18.79,2,2,42,20.7,0,2
0,1.15,2,0,21,18.0,0,38
0,4.74,2,0,30,36.1,1,33
0,4.7,1,1,49,29.5,1,21
2,36.7,0,0,11,43.9,1,6
0,6.59,1,1,18,20.3,0,32
0,6.93,1,1,34,36.9,1,25
0,1.75,2,1,7,33.6,1,28
2,21.44,0,0,62,31.9,2,2
0,6.33,0,2,79,31.2,2,16
0,6.58,0,1,0,32.4,1,31
0,2.46,1,1,46,37.7,1,25
0,3.53,0,2,10,13.7,0,29
2,15.29,2,1,62,29.1,2,2
1,17.83,0,1,72,29.8,2,14
2,35.12,1,2,56,33.5,2,2
2,22.13,1,2,97,25.6,2,2
2,27.03,2,0,46,28.6,2,2
0,1.09,2,2,32,35.6,1,17
0,3.2,1,0,97,24.8,2,14
2,34.86,0,1,47,31.7,1,2
0,5.05,0,1,34,44.9,1,26
1,5.7,0,1,8,41.0,1,19
2,39.8,2,1,24,35.6,1,4
0,1.36,2,2,69,25.7,2,8
2,32.38,1,2,14,19.7,0,3
1,9.36,2,2,73,35.5,2,2
0,2.29,1,1,7,8.5,0,29
0,1.16,0,0,2,14.3,0,32
2,32.74,2,0,25,14.1,0,4
0,2.02,0,2,46,37.8,1,20
2,18.63,2,2,9,44.8,1,2
1,16.2,0,2,47,32.8,2,5
1,17.58,2,1,41,17.4,0,16
1,8.65,1,0,48,37.1,1,16
0,1.44,0,1,84,36.8,2,10
2,18.8,2,0,13,33.6,1,9
0,3.98,1,1,12,8.7,0,27
0,5.21,0,0,96,27.0,2,22
0,1.88,1,1,12,21.5,0,39
1,13.56,0,2,75,36.8,2,11
2,25.06,1,1,41,34.1,1,3
1,10.04,1,0,65,36.8,2,17
1,11.44,1,1,14,18.4,0,24
2,20.27,2,2,12,33.6,1,2
1,11.26,2,0,43,33.7,1,19
2,24.9,2,2,46,41.5,1,2
0,3.67,0,2,94,37.9,2,15
0,3.18,2,0,40,11.2,0,30
2,26.16,0,0,23,8.8,0,7
1,3.1,2,1,35,13.8,0,14
0,3.98,2,2,18,28.3,1,20
0,1.47,0,0,49,32.7,2,21
1,4.19,1,1,25,35.8,1,19
1,17.88,2,0,29,25.3,2,19
1,3.84,1,2,0,39.9,1,22
2,37.05,1,2,2,11.2,0,5
2,13.3,2,1,4,39.6,1,10
2,12.44,0,0,13,38.0,1,17
2,16.55,1,0,15,37.6,1,15
2,15.92,1,1,35,31.0,2,2
1,6.48,0,0,4,33.8,1,25
1,7.1,1,0,82,30.9,2,5
1,5.79,2,1,37,39.2,1,20
0,2.24,2,0,24,18.0,0,35
2,20.87,0,2,6,29.6,1,7
1,5.81,0,0,28,15.8,0,23
2,14.51,1,0,35,9.3,0,11
1,8.82,0,1,5,40.3,1,18
2,16.75,0,2,73,26.4,2,2
0,2.29,0,0,19,36.2,1,34
0,5.19,1,1,31,16.3,0,28
1,15.62,0,1,24,41.7,1,17
1,15.23,1,1,55,39.1,1,11
2,20.8,2,0,25,44.5,1,9
1,10.37,2,2,98,34.9,2,2
1,6.0,1,0,94,26.5,2,13
2,38.4,0,2,13,35.5,1,2
1,12.5,2,1,15,11.5,0,24
0,0.98,2,1,38,36.1,1,23
2,34.14,1,2,23,17.8,0,3
2,15.06,2,2,15,17.2,0,2
0,4.7,2,2,67,37.5,2,13
1,6.88,0,0,32,18.5,0,19
0,3.51,1,1,43,38.0,1,23
2,25.52,0,1,18,13.8,0,9
2,21.61,0,1,50,31.5,1,3
1,9.57,1,1,44,14.3,0,18
2,30.14,0,0,43,41.6,1,7
2,27.45,0,2,21,15.8,0,5
1,12.61,2,0,27,13.5,0,22
2,28.58,2,0,24,28.1,1,9
2,34.39,0,2,34,10.6,0,2
1,6.94,0,1,31,15.4,0,17
2,21.74,1,2,29,16.6,0,2
2,28.52,2,1,42,28.4,2,2
1,8.83,2,0,42,32.0,2,17
1,11.06,0,1,47,31.8,2,9
1,15.98,1,2,0,14.8,0,16
0,4.74,1,2,77,33.6,2,8
1,3.46,0,0,53,28.1,2,19
1,5.52,0,2,29,37.6,1,14
2,19.5,0,2,34,19.5,0,2
1,9.62,2,0,52,37.9,2,19
0,2.21,1,0,55,41.9,1,31
1,15.16,0,0,37,17.6,0,23
1,14.77,0,2,13,19.3,0,12
2,28.71,1,2,10,33.5,1,2
1,5.03,2,2,26,20.9,0,9
1,15.99,2,0,56,26.0,2,11
2,28.17,1,1,17,16.8,0,9
1,14.92,1,0,36,29.6,2,15
1,11.73,1,1,55,41.2,1,9
2,29.78,0,2,44,34.1,1,2
0,2.25,1,0,53,32.8,1,30
2,35.87,2,0,68,36.5,2,2
2,38.02,1,0,10,14.2,0,9
0,6.41,1,0,63,26.2,2,24
2,22.41,1,1,41,10.3,0,5
1,13.49,2,1,54,30.0,2,10
0,4.36,1,0,33,17.5,0,32
0,5.81,0,2,55,35.2,1,20
1,4.55,0,2,23,20.3,0,17
0,6.95,1,0,43,25.0,2,20
0,1.88,1,1,44,36.9,2,20
2,14.43,2,1,6,10.0,0,15
1,6.72,1,1,41,9.2,0,22
2,29.01,2,2,28,35.9,2,2
2,32.94,2,2,18,17.0,0,2
0,2.07,1,1,40,16.3,0,19
1,15.91,1,0,36,35.2,1,17
2,38.72,2,0,49,29.2,1,3
0,3.79,0,0,40,40.1,1,29
1,4.24,1,2,34,37.1,1,14
0,3.99,2,0,25,16.2,0,34
2,20.68,2,2,27,18.2,0,2
0,4.48,1,0,3,33.3,1,32
2,15.34,2,2,45,9.9,0,2
1,6.89,2,2,72,25.8,2,2
1,8.03,2,0,27,11.8,0,28
2,24.75,2,0,23,28.9,1,11
2,19.14,0,1,6,20.5,0,10
2,36.04,2,0,0,11.4,0,10
1,5.68,1,1,2,15.7,0,27
1,9.24,0,1,20,11.8,0,17
0,3.76,2,1,3,10.5,0,34
1,14.6,0,1,19,33.6,1,8
2,17.62,1,0,36,41.3,1,10
1,13.99,2,1,34,18.6,0,15
0,0.66,0,0,34,33.9,1,34
1,15.74,0,2,46,33.2,1,4
0,3.7,2,0,3,44.5,1,34
0,5.06,0,2,23,35.8,1,24
2,26.15,0,2,40,19.5,0,5
1,7.38,2,0,20,21.0,0,26
1,7.77,2,2,17,32.0,1,11
2,16.6,0,0,29,12.4,0,12
0,3.44,2,1,29,11.7,0,30
2,28.89,1,2,52,35.7,2,2
1,6.72,0,0,70,29.5,2,16
0,4.11,0,1,35,32.2,1,26
1,3.18,0,0,14,9.8,0,27
2,28.41,2,0,34,24.3,2,2
0,5.76,0,2,5,43.4,1,25
0,6.51,1,0,27,19.5,0,29
1,13.25,1,0,11,34.0,1,24
1,12.29,0,0,56,33.1,2,12
1,3.91,1,2,17,34.5,1,12
2,34.26,0,2,73,34.9,2,2
1,8.16,1,2,36,36.5,1,11
1,16.44,2,0,17,8.8,0,23
1,17.99,2,1,45,25.4,2,8
2,35.7,0,0,74,29.0,2,2
0,2.57,0,0,70,36.8,2,27
2,38.55,2,0,88,31.6,2,2
0,0.87,1,0,38,11.1,0,32
2,32.07,0,0,51,42.4,1,5
1,11.8,0,0,9,18.8,0,28
0,3.07,1,2,37,28.7,2,13
1,17.23,0,0,87,33.1,2,13
2,30.63,2,1,11,13.3,0,14
2,16.98,2,1,0,21.3,0,15
2,20.91,0,0,53,33.0,2,3
0,5.34,1,0,15,33.9,1,29
0,5.24,2,2,67,30.3,2,13
1,4.02,0,0,57,35.0,2,15
1,16.27,2,1,31,20.3,0,16
1,15.43,2,1,36,17.1,0,16
0,2.57,0,1,6,9.0,0,29
0,0.99,1,0,36,28.7,2,32
2,16.62,0,1,80,26.2,2,2
0,3.16,1,0,35,18.1,0,31
1,3.74,1,0,36,15.7,0,21
1,3.06,0,0,5,33.0,1,23
0,1.61,0,0,18,21.7,0,30
1,10.06,0,1,42,32.5,1,13
1,9.69,1,1,16,14.2,0,18
1,3.92,0,1,37,25.2,2,11
2,35.54,0,2,33,13.9,0,3
2,36.69,2,1,85,28.2,2,2
0,5.7,2,2,43,25.7,2,15
1,15.13,0,0,8,8.6,0,27
0,2.18,2,0,33,25.2,2,28
2,35.99,1,2,33,35.8,1,2
2,15.15,2,2,9,30.5,1,2
2,27.76,2,0,6,19.0,0,17
1,10.28,1,1,85,24.5,2,2
1,12.13,1,0,76,24.5,2,13
0,6.49,0,2,23,28.3,1,20
1,15.87,1,1,43,29.7,1,15
2,32.41,1,1,38,39.0,1,2
0,5.32,1,0,48,36.8,1,27
0,3.79,0,1,42,34.9,2,22
2,17.4,2,0,12,19.7,0,14
1,8.53,2,0,29,36.6,1,24
2,18.77,0,2,31,16.3,0,7
2,16.58,2,1,16,40.7,1,14
2,22.82,0,1,10,20.0,0,10
0,1.84,2,0,77,31.2,2,20
2,30.13,0,1,38,19.2,0,5
1,7.13,2,2,73,35.9,2,4
1,7.53,1,0,33,42.0,1,20
2,30.13,2,1,61,28.2,2,2
0,6.92,1,0,40,33.5,1,28
2,26.48,1,0,15,20.6,0,16
2,31.06,1,2,46,28.4,1,2
1,3.53,1,1,98,35.4,2,7
1,13.29,2,2,40,19.0,0,11
2,36.54,1,0,48,28.1,2,2
1,13.88,0,2,35,41.0,1,13
1,8.33,2,0,19,13.9,0,28
1,7.41,1,1,40,30.6,2,15
2,26.01,0,1,43,13.3,0,2
1,5.06,1,0,12,12.8,0,32
1,5.71,0,1,35,30.8,2,13
2,13.62,0,1,82,27.8,2,2
0,4.49,1,0,40,14.0,0,29
1,3.57,1,1,12,18.2,0,28
2,12.12,0,0,56,27.2,2,3
1,8.75,1,0,37,12.3,0,23
1,11.95,1,2,68,30.1,2,5
2,22.06,0,1,12,30.8,1,12
0,6.9,0,0,52,34.3,2,20
2,22.26,2,0,41,19.1,0,7
2,39.85,2,0,38,33.1,2,3
0,3.21,0,2,24,9.7,0,25
0,0.56,2,2,78,33.3,2,14
2,28.96,2,1,42,29.9,2,2
2,33.97,0,1,31,10.8,0,2
0,2.83,1,2,26,12.1,0,28
0,2.02,2,1,0,39.4,1,30
0,1.47,2,2,5,41.3,1,24
1,17.83,2,0,18,32.5,1,22
0,6.04,0,0,23,19.2,0,30
0,4.81,0,0,10,12.6,0,38
1,4.39,2,1,68,26.6,2,4
1,15.0,1,2,41,43.1,1,15
0,5.22,0,0,45,25.5,2,27
2,29.12,2,1,22,16.6,0,5
2,37.77,2,0,7,43.1,1,7
2,36.31,1,0,92,34.7,2,2
2,39.38,2,2,42,20.2,0,2
2,32.35,0,1,86,28.8,2,2
2,35.49,2,1,35,20.5,0,3
0,6.15,2,1,4,40.8,1,28
1,3.76,0,1,14,37.4,1,16
0,3.41,1,1,88,30.3,2,20
0,0.62,1,2,76,29.8,2,14
0,2.48,2,2,90,31.9,2,7
2,22.17,2,1,3,41.9,1,10
2,30.4,2,1,82,25.6,2,2
2,21.94,0,0,40,44.4,1,8
2,25.79,0,0,45,18.4,0,13
1,5.94,0,1,40,37.0,2,10
0,5.42,2,1,2,21.0,0,33
2,24.81,2,0,37,44.3,1,10
2,38.19,2,0,99,30.8,2,2
2,16.86,0,2,41,25.4,2,2
1,17.69,2,1,44,41.0,1,10
1,9.79,1,1,8,30.3,1,14
2,36.1,1,2,95,32.9,2,2
0,2.39,0,2,69,36.9,2,18
0,4.64,2,2,39,34.7,2,15
2,38.39,1,2,78,33.4,2,2
1,3.38,0,2,9,8.7,0,16
0,6.89,0,1,43,11.5,0,28
1,8.38,0,2,28,9.4,0,11
2,32.79,2,2,35,13.4,0,2
2,13.32,1,2,73,29.4,2,2
2,12.36,1,2,16,10.8,0,11
1,13.64,0,2,72,34.6,2,2
2,33.73,2,2,12,12.1,0,2
0,1.28,0,2,30,30.0,2,23
2,28.35,1,0,16,8.1,0,4
0,0.83,0,1,63,30.9,2,21
2,33.95,2,1,20,15.4,0,9
2,27.04,0,1,36,28.9,2,2
0,2.85,2,1,13,44.2,1,25
2,30.73,2,0,28,11.4,0,7
2,38.85,2,2,43,20.4,0,2
0,5.21,1,1,28,36.8,2,26
1,10.3,2,2,18,43.3,1,10
0,0.55,0,2,33,27.0,2,22
2,35.4,0,2,13,37.1,1,2
1,13.29,2,0,28,30.4,2,8
1,3.81,0,0,16,15.8,0,24
1,12.45,1,1,27,33.4,1,15
1,3.09,2,0,33,34.6,2,14
0,2.38,1,2,43,12.2,0,21
0,3.07,1,1,42,28.5,1,26
2,38.88,1,2,9,33.1,1,2
2,27.5,2,1,35,10.0,0,9
1,7.57,2,2,22,11.0,0,12
2,17.15,2,0,39,19.7,0,12
2,30.05,0,2,4,32.9,1,4
0,5.22,1,0,31,21.3,0,29
0,0.95,0,1,49,28.4,2,24
1,7.59,1,2,99,26.1,2,2
1,6.69,0,0,14,40.1,1,21
2,15.76,1,1,46,33.6,1,2
1,5.64,1,2,38,9.1,0,15
1,6.95,0,2,40,9.1,0,15
2,28.21,2,0,100,27.0,2,2
0,6.31,2,1,94,30.6,2,15
0,1.37,2,2,32,36.7,1,15
1,12.94,1,2,39,17.6,0,13
0,4.79,0,2,43,34.3,2,15
1,14.42,1,0,14,8.9,0,22
0,3.55,2,1,29,43.0,1,27
0,5.07,2,1,33,16.9,0,27
2,22.55,2,2,24,13.1,0,4
2,22.54,0,2,14,36.8,1,2
1,10.53,1,2,8,14.2,0,21
0,2.33,0,2,44,26.6,2,14
0,5.77,2,0,46,29.9,1,32
2,28.54,1,1,41,19.7,0,6
2,29.63,2,0,2,20.5,0,13
0,6.5,0,0,33,44.3,1,26
0,5.84,2,2,35,27.0,2,10
2,18.14,1,1,26,16.4,0,10
0,2.22,2,2,68,36.9,2,4
2,22.59,2,0,8,9.5,0,15
2,28.95,2,1,11,14.7,0,13
2,26.09,2,0,40,25.3,2,2
2,24.08,0,2,78,29.2,2,2
0,1.99,2,2,51,36.2,1,16
2,23.91,2,2,16,14.7,0,2
0,6.2,0,1,77,27.6,2,22
0,3.88,2,2,24,17.2,0,20
2,14.98,1,1,27,39.1,1,7
1,7.13,2,1,75,34.6,2,15
1,5.68,2,2,35,37.4,1,8
1,5.07,2,1,40,34.5,2,15
1,6.22,2,0,25,19.0,0,25
2,22.89,2,0,40,8.1,0,6
0,3.33,0,1,33,27.7,2,19
2,30.37,1,1,61,34.0,2,2
2,25.84,0,0,26,26.8,2,2
1,10.66,0,0,54,32.6,2,9
2,30.34,0,1,10,9.2,0,7
2,17.61,1,1,26,34.3,2,6
0,5.22,0,2,35,43.6,1,17
1,9.82,0,2,25,16.0,0,21
1,4.6,0,1,34,31.0,2,13
2,19.0,1,2,81,37.5,2,2
2,38.91,1,0,29,39.6,1,10
1,8.74,0,1,14,17.5,0,17
0,3.86,1,1,0,39.9,1,29
1,4.14,2,2,11,36.1,1,13
1,5.74,0,2,47,39.6,1,15
0,6.17,0,2,13,11.2,0,23
0,5.56,2,1,7,20.9,0,28
2,35.74,0,2,23,16.7,0,2
1,5.74,2,1,48,43.6,1,15
2,34.38,0,0,86,37.2,2,2
0,6.09,2,1,49,31.0,1,28
1,3.18,1,2,13,13.3,0,17
0,6.1,1,1,48,31.7,2,20
2,25.97,1,1,13,13.9,0,12
1,9.76,1,1,36,30.2,1,14
0,4.11,2,1,24,10.7,0,28
2,16.95,0,1,31,9.9,0,12
2,20.4,2,1,35,42.6,1,3
0,1.56,1,0,52,35.4,2,20
1,8.41,2,1,35,37.5,1,17
1,4.82,1,0,55,39.6,1,16
2,39.42,2,2,18,13.0,0,2
2,24.51,2,1,35,29.3,2,2
0,3.24,0,2,39,37.7,1,25
0,1.98,0,0,20,39.1,1,30
1,14.22,1,1,33,44.4,1,11
1,4.88,0,0,15,17.3,0,30
0,1.17,0,0,4,43.9,1,32
1,14.56,2,0,33,18.7,0,23
0,2.51,0,2,15,40.5,1,25
1,10.9,2,0,10,8.4,0,21
1,17.02,1,1,95,30.2,2,2
2,28.73,2,0,97,30.1,2,2
1,15.07,1,2,28,12.3,0,11
1,3.16,1,0,33,41.9,1,23
1,16.83,2,0,86,28.2,2,7
1,14.95,1,2,35,13.2,0,9
1,14.06,0,0,74,35.6,2,13
0,4.56,1,0,33,41.0,1,34
2,32.8,1,1,59,29.8,2,2
0,1.22,0,0,29,38.5,1,30
0,0.82,1,0,34,8.3,0,37
0,5.15,1,1,0,11.3,0,33
1,17.97,1,1,29,39.8,1,17
0,0.86,1,0,25,9.0,0,31
